X,OBSERVATION,PARTICIPANT,PRETEST,PRE_FAMILIAR,AGE,GENDER,NATIONALITY,ENGLISH,POSTTEST,GENERATION,RECALL,CHAIN,CONDITION,CONDITION.2,ORDER,SOURCE,VIEW,PRESTIGE,RELEVANCE,T_RECALL,T_SOURCE
1,39,20,3,3,47,male,1,1,3,F4,2,CH5,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,3,110.591,22.189
2,40,20,3,3,47,male,1,1,3,F4,1,CH5,C1,A,SECOND,CLEANER,PROTABLETS,2,1,120.701,11.1
1,41,21,-3,3,24,female,1,1,-3,F1,5,CH6,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,2,135.475,39.598
2,42,21,-3,3,24,female,1,1,-3,F1,6,CH6,C1,A,SECOND,CLEANER,PROTABLETS,4,-2,113.419,37.735
1,43,22,-3,3,29,female,1,1,-2,F2,3,CH6,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,3,62.315,23.188
2,44,22,-3,3,29,female,1,1,-2,F2,1,CH6,C1,A,SECOND,CLEANER,PROTABLETS,2,-2,46.099,12.802
1,45,23,-2,2,36,female,1,1,-2,F3,4,CH6,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,3,66.398,28.653
2,46,23,-2,2,36,female,1,1,-2,F3,0,CH6,C1,A,SECOND,CLEANER,PROTABLETS,1,-2,83.475,18.851
1,47,24,2,3,26,male,1,1,2,F4,3,CH6,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,2,158.163,52.193
2,48,24,2,3,26,male,1,1,2,F4,0,CH6,C1,A,SECOND,CLEANER,PROTABLETS,2,0,152.158,19.179
1,49,25,-2,2,38,female,1,1,-1,F1,4,CH7,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,2,167.06,72.632
2,50,25,-2,2,38,female,1,1,-1,F1,4,CH7,C1,A,SECOND,CLEANER,PROTABLETS,3,-1,152.539,80.201
1,51,26,-2,1,41,female,1,1,-2,F2,3,CH7,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,2,300.123,28.547
2,52,26,-2,1,41,female,1,1,-2,F2,2,CH7,C1,A,SECOND,CLEANER,PROTABLETS,2,0,300.018,28.745
1,53,27,-2,3,34,male,1,1,1,F3,3,CH7,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,2,70.758,19.835
2,54,27,-2,3,34,male,1,1,1,F3,2,CH7,C1,A,SECOND,CLEANER,PROTABLETS,2,1,35.798,12.447
1,55,28,1,1,23,female,1,1,1,F4,3,CH7,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,1,57.351,13.519
2,56,28,1,1,23,female,1,1,1,F4,2,CH7,C1,A,SECOND,CLEANER,PROTABLETS,2,-1,34.413,24.201
1,57,29,-3,2,35,female,1,1,-1,F1,5,CH8,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,1,156.172,37.745
2,58,29,-3,2,35,female,1,1,-1,F1,6,CH8,C1,A,SECOND,CLEANER,PROTABLETS,1,-1,158.271,33.343
1,59,30,2,1,36,female,1,1,2,F2,4,CH8,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,2,159.694,27.63
2,60,30,2,1,36,female,1,1,2,F2,2,CH8,C1,A,SECOND,CLEANER,PROTABLETS,3,-1,156.164,11.849
1,61,31,-2,3,34,female,1,1,0,F3,4,CH8,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,3,116.558,99.486
2,62,31,-2,3,34,female,1,1,0,F3,2,CH8,C1,A,SECOND,CLEANER,PROTABLETS,1,0,112.518,16.121
1,63,32,-1,3,48,female,1,1,1,F4,2,CH8,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,3,83.155,37.345
2,64,32,-1,3,48,female,1,1,1,F4,1,CH8,C1,A,SECOND,CLEANER,PROTABLETS,3,0,33.189,30.06
1,65,33,-2,2,22,female,1,1,-1,F1,5,CH9,C1,B,FIRST,CLEANER,ANTITABLETS,2,1,151.45,41.377
2,66,33,-2,2,22,female,1,1,-1,F1,6,CH9,C1,B,SECOND,EDUCATOR,PROTABLETS,3,2,116.809,33.764
1,67,34,1,2,33,female,1,1,0,F2,5,CH9,C1,B,FIRST,CLEANER,ANTITABLETS,1,0,206.156,23.548
2,68,34,1,2,33,female,1,1,0,F2,3,CH9,C1,B,SECOND,EDUCATOR,PROTABLETS,4,3,171.597,31.734
1,69,35,-1,3,22,female,1,1,-2,F3,5,CH9,C1,B,FIRST,CLEANER,ANTITABLETS,2,1,120.09,84.617
2,70,35,-1,3,22,female,1,1,-2,F3,3,CH9,C1,B,SECOND,EDUCATOR,PROTABLETS,5,3,48.451,64.779
1,71,36,-2,3,43,female,1,1,-1,F4,2,CH9,C1,B,FIRST,CLEANER,ANTITABLETS,2,-1,151.762,23.536
2,72,36,-2,3,43,female,1,1,-1,F4,2,CH9,C1,B,SECOND,EDUCATOR,PROTABLETS,4,2,166.765,15.427
1,73,37,-3,3,40,female,1,1,-3,F1,9,CH10,C1,B,FIRST,CLEANER,ANTITABLETS,2,0,168.824,39.257
2,74,37,-3,3,40,female,1,1,-3,F1,5,CH10,C1,B,SECOND,EDUCATOR,PROTABLETS,3,3,128.464,43.317
1,75,38,2,3,31,male,1,1,3,F2,3,CH10,C1,B,FIRST,CLEANER,ANTITABLETS,4,-2,155.725,25.653
2,76,38,2,3,31,male,1,1,3,F2,4,CH10,C1,B,SECOND,EDUCATOR,PROTABLETS,4,2,146.706,16.15
1,77,39,-3,3,30,female,1,1,-3,F3,2,CH10,C1,B,FIRST,CLEANER,ANTITABLETS,3,0,65.801,21.816
2,78,39,-3,3,30,female,1,1,-3,F3,4,CH10,C1,B,SECOND,EDUCATOR,PROTABLETS,4,0,55.284,13.495
1,79,40,-3,3,33,female,1,1,-1,F4,1,CH10,C1,B,FIRST,CLEANER,ANTITABLETS,3,-3,54.371,13.131
2,80,40,-3,3,33,female,1,1,-1,F4,4,CH10,C1,B,SECOND,EDUCATOR,PROTABLETS,3,2,43.764,14.371
1,81,41,-1,1,35,female,1,1,1,F1,3,CH11,C1,B,FIRST,CLEANER,ANTITABLETS,1,0,109.003,43.964
2,82,41,-1,1,35,female,1,1,1,F1,4,CH11,C1,B,SECOND,EDUCATOR,PROTABLETS,3,0,121.613,28.165
1,83,42,-2,3,24,female,1,1,3,F2,3,CH11,C1,B,FIRST,CLEANER,ANTITABLETS,1,1,124.866,34.649
2,84,42,-2,3,24,female,1,1,3,F2,3,CH11,C1,B,SECOND,EDUCATOR,PROTABLETS,3,1,93.935,20.723
1,85,43,0,2,53,female,1,1,1,F3,3,CH11,C1,B,FIRST,CLEANER,ANTITABLETS,1,0,163.676,26.827
2,86,43,0,2,53,female,1,1,1,F3,3,CH11,C1,B,SECOND,EDUCATOR,PROTABLETS,2,0,152.352,18.239
1,87,44,-1,3,38,male,1,1,1,F4,2,CH11,C1,B,FIRST,CLEANER,ANTITABLETS,1,-2,73.301,36.324
2,88,44,-1,3,38,male,1,1,1,F4,2,CH11,C1,B,SECOND,EDUCATOR,PROTABLETS,1,-2,38.859,28.616
1,89,45,2,3,21,male,1,1,1,F1,4,CH12,C1,B,FIRST,CLEANER,ANTITABLETS,1,-1,151.074,54.237
2,90,45,2,3,21,male,1,1,1,F1,5,CH12,C1,B,SECOND,EDUCATOR,PROTABLETS,2,-1,170.136,47.626
1,91,46,-1,3,47,female,1,1,0,F2,4,CH12,C1,B,FIRST,CLEANER,ANTITABLETS,1,0,161.748,25.777
2,92,46,-1,3,47,female,1,1,0,F2,2,CH12,C1,B,SECOND,EDUCATOR,PROTABLETS,2,0,61.971,38.597
1,93,47,1,3,20,female,1,1,1,F3,4,CH12,C1,B,FIRST,CLEANER,ANTITABLETS,1,-1,87.638,25.101
2,94,47,1,3,20,female,1,1,1,F3,1,CH12,C1,B,SECOND,EDUCATOR,PROTABLETS,2,-1,39.42,19.581
1,95,48,-2,2,52,female,1,1,-1,F4,3,CH12,C1,B,FIRST,CLEANER,ANTITABLETS,1,1,154.776,35.973
2,96,48,-2,2,52,female,1,1,-1,F4,1,CH12,C1,B,SECOND,EDUCATOR,PROTABLETS,2,1,154.113,21.739
1,97,49,1,1,36,male,1,1,0,F1,2,CH13,C1,B,FIRST,EDUCATOR,PROTABLETS,3,2,212.212,70.836
2,98,49,1,1,36,male,1,1,0,F1,5,CH13,C1,B,SECOND,CLEANER,ANTITABLETS,3,1,264.167,20.293
1,99,50,-2,2,33,female,1,1,-1,F2,2,CH13,C1,B,FIRST,EDUCATOR,PROTABLETS,4,2,132.473,24.66
2,100,50,-2,2,33,female,1,1,-1,F2,2,CH13,C1,B,SECOND,CLEANER,ANTITABLETS,2,0,146.505,17.5
1,101,51,-1,2,21,female,1,1,-1,F3,2,CH13,C1,B,FIRST,EDUCATOR,PROTABLETS,3,2,74.334,16.946
2,102,51,-1,2,21,female,1,1,-1,F3,2,CH13,C1,B,SECOND,CLEANER,ANTITABLETS,3,3,39.574,11.821
